DC-RTR-WAN2-L3#show ip bgp neighbors 80.80.80.13 received-routes
BGP table version is 20850868, local router ID is 10.0.124.52
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
              t secondary path, L long-lived-stale,
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>   1.32.2.223/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.224/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.226/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.230/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.232/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.233/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.237/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.239/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.240/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.241/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.242/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.244/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.245/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.246/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.247/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.248/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.250/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.254/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.3.2/32      80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.3.5/32      80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.3.7/32      80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.3.8/29      80.80.80.13                            0 65535 65533 65533 ?
 *>   1.32.3.185/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.3.243/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.4.2/32      80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.4.3/32      80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.225.32/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.2/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.3/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.4/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.5/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.6/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.7/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.8/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.9/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.12/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.13/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.15/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.16/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.17/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.18/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.19/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.20/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.21/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.23/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.25/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.26/32   80.80.80.13                            0 65535 65533 65533 65535 ?
     Network          Next Hop            Metric LocPrf Weight Path
 *>   1.32.255.28/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.29/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.30/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.32/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.34/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.35/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.255.36/32   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.33.1.216/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.33.1.224/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.33.1.232/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.33.1.240/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.33.2.96/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   1.33.255.30/31   80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.35.4.192/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   3.235.67.1/32    80.80.80.13                            0 65535 65533 65533 65500 ?
 *>   3.235.67.7/32    80.80.80.13                            0 65535 65533 65533 65500 ?
 *>   4.1.1.0/30       80.80.80.13                            0 65535 65533 ?
 *>   4.235.130.7/32   80.80.80.13                            0 65535 65533 65533 65500 ?
 *>   5.1.1.0/30       80.80.80.13                            0 65535 ?
 *    10.1.1.0/30      80.80.80.13                            0 65535 65533 65533 ?
 *>   10.4.11.0/25     80.80.80.13                            0 65535 65533 65533 65103 65103 65103 65103 i
 *>   10.4.17.0/24     80.80.80.13                            0 65535 65533 65533 65102 i
 *>   10.4.29.0/25     80.80.80.13                            0 65535 65533 65533 65104 65104 65104 65104 i
 *>   10.4.31.128/25   80.80.80.13                            0 65535 65533 65533 65104 i
 *>   10.4.33.0/25     80.80.80.13                            0 65535 65104 i
 *>   10.4.59.0/25     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.5.4.64/26     80.80.80.13                            0 65535 65533 65533 65104 i
 *>   10.5.7.0/26      80.80.80.13                            0 65535 65533 65533 65104 i
 *>   10.5.7.128/26    80.80.80.13                            0 65535 65533 65533 65104 i
 *    10.5.12.64/26    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.5.16.192/26   80.80.80.13                            0 65535 65533 65533 65104 65104 65104 65104 i
 *>   10.5.18.0/26     80.80.80.13                            0 65535 65533 65533 65104 65104 65104 65104 i
 *>   10.5.37.0/26     80.80.80.13                            0 65535 65533 65533 65104 65104 65104 65104 i
 *    10.5.38.128/26   80.80.80.13                            0 65535 65533 65533 65102 i
 *>   10.5.42.128/26   80.80.80.13                            0 65535 65533 65533 65104 i
 *>   10.5.48.128/26   80.80.80.13                            0 65535 65533 65533 65500 ?
 *>   10.5.52.0/26     80.80.80.13                            0 65535 65533 65533 65104 i
 *>   10.5.52.64/26    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.5.52.128/26   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.5.54.64/26    80.80.80.13                            0 65535 65533 65533 65102 i
 *>   10.5.67.192/26   80.80.80.13                            0 65535 65102 65102 65102 65102 i
 *>   10.5.70.64/26    80.80.80.13                            0 65535 65533 65533 65104 65104 65104 65104 i
 *>   10.5.79.64/27    80.80.80.13                            0 65535 65533 65533 ?
 *    10.5.121.192/26  80.80.80.13                            0 65535 65533 65533 65102 65102 65102 65102 i
 *>   10.6.2.0/24      80.80.80.13                            0 65535 65533 65533 65104 i
 *>   10.6.3.192/27    80.80.80.13                            0 65535 65533 65533 65102 65102 65102 65102 i
 *>   10.6.4.0/27      80.80.80.13                            0 65535 65533 65533 ?
 *>   10.6.4.32/27     80.80.80.13                            0 65535 65533 65533 65012 ?
 *    10.6.6.32/27     80.80.80.13                            0 65535 65535 65104 i
 *>   10.6.7.192/27    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.6.8.32/27     80.80.80.13                            0 65535 65102 i
 *>   10.6.9.128/27    80.80.80.13                            0 65535 65533 65533 65012 ?
 *    10.6.11.0/27     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.6.11.32/27    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.6.16.64/27    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.6.19.192/27   80.80.80.13                            0 65535 ?
 *>   10.6.20.96/27    80.80.80.13                            0 65535 65533 65533 ?
 *    10.6.22.64/27    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.6.25.128/28   80.80.80.13                            0 65535 65533 65533 ?
 r    10.6.29.0/27     80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.6.30.0/27     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.6.32.224/27   80.80.80.13                            0 65535 65533 65533 65102 i
 *>   10.6.33.0/27     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.6.60.128/27   80.80.80.13                            0 65535 65533 65533 65102 i
 *>   10.6.63.0/27     80.80.80.13                            0 65535 65533 65533 65104 i
 *>   10.6.117.160/27  80.80.80.13                            0 65535 65533 65533 65104 i
     Network          Next Hop            Metric LocPrf Weight Path
 *>   10.6.123.0/30    80.80.80.13                            0 65535 ?
 *>   10.7.0.88/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.0.120/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.0.128/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.0.176/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.0.240/30    80.80.80.13                            0 65535 ?
 *>   10.7.0.240/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.1.0/29      80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.1.0/24      80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.1.8/29      80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.1.16/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.1.32/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.1.80/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.1.152/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.2.0/29      80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.2.40/29     80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.2.64/29     80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.2.72/30     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.2.192/28    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.3.16/29     80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.4.24/29     80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.4.32/29     80.80.80.13                            0 65535 ?
 *>   10.7.4.120/29    80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.4.168/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.4.216/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.4.240/29    80.80.80.13                            0 65535 65533 65533 65015 ?
 *    10.7.5.0/24      80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.5.8/29      80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.5.48/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.5.192/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.5.200/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.5.208/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.5.216/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.6.0/24      80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.7.32/29     80.80.80.13                            0 65535 ?
 *>   10.7.7.48/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.7.96/29     80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.7.128/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.7.200/29    80.80.80.13                            0 65535 ?
 *>   10.7.7.208/29    80.80.80.13                            0 65535 ?
 *>   10.7.7.216/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.7.248/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.8.24/29     80.80.80.13                            0 65535 ?
 *>   10.7.8.32/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.8.88/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.8.176/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.8.208/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.9.24/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.9.112/29    80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.9.160/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.9.240/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.10.16/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.10.248/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.11.40/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.11.48/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.11.56/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.11.88/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.11.224/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.11.240/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.13.0/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.13.216/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.14.80/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.18.200/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.18.216/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.18.224/30   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.18.232/29   80.80.80.13                            0 65535 65533 65533 ?
     Network          Next Hop            Metric LocPrf Weight Path
 *>   10.7.21.0/29     80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.21.8/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.21.32/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.21.88/29    80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.21.104/29   80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.21.128/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.21.136/29   80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.21.160/29   80.80.80.13                            0 65535 ?
 *>   10.7.21.176/29   80.80.80.13                            0 65535 ?
 *>   10.7.21.192/29   80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.21.200/30   80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.21.208/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.21.216/29   80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.21.232/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.21.240/29   80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.22.0/29     80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.22.8/29     80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.22.16/30    80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.22.32/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.22.56/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.22.64/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.22.72/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.22.80/30    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.22.88/29    80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.22.112/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.22.120/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.22.136/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.22.144/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.22.152/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.22.160/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.22.168/29   80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.22.176/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.22.192/30   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.23.88/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.23.120/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.23.128/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.23.136/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.23.144/29   80.80.80.13                            0 65535 65533 65533 65015 ?
 r    10.7.23.160/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.23.176/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.23.216/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.23.224/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.24.152/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.24.184/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.24.200/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.25.8/29     80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.25.16/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.25.32/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.25.40/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.25.72/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.25.88/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.25.96/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.25.104/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.25.176/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.25.200/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.25.208/29   80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.26.0/29     80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.26.16/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.26.24/29    80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.26.56/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.26.64/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.26.72/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.26.128/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.26.208/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.26.216/29   80.80.80.13                            0 65535 65533 65533 65104 i
 *>   10.7.27.32/29    80.80.80.13                            0 65535 65533 65533 65012 ?
     Network          Next Hop            Metric LocPrf Weight Path
 *>   10.7.27.40/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.27.112/30   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.27.120/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.27.128/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.27.144/29   80.80.80.13                            0 65535 65533 65533 65015 ?
 *>   10.7.27.152/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.27.184/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.31.80/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.34.0/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.34.8/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.34.24/30    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.34.32/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.34.40/29    80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.34.56/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.34.80/30    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.34.96/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   10.7.34.112/29   80.80.80.13                            0 65535 65533 65533 65012 ?
 *>   10.7.34.120/29   80.80.80.13                            0 65535 65533 65533 65012 ?
